Address,Latitude,Longitude,Easting,Northing
LL29 7PA,53.293593,-3.725125,285112,378791
SS11 7EJ,51.618025,0.523815,574821,194039
AB12 5NX,57.121264,-2.108468,393531,803375
SW8 5BX,51.480809,-0.140263,529239,177401
IP11 9DJ,51.973345,1.340782,629555,235813
BS9 1AN,51.484015,-2.629499,356385,176306
BS7 0TD,51.501313,-2.580971,359770,178202
BB10 1AT,53.798499,-2.240476,384258,433604
TS5 8EU,54.531434,-1.251464,448538,515386
DE55 2AG,53.103319,-1.345308,443930,356436
IG8 9QY,51.609971,0.017426,539792,192054
S3 7RZ,53.379878,-1.481768,434571,387128
S40 3AW,53.231669,-1.45905,436207,370651
S40 3AW,53.231669,-1.45905,436207,370651
OX14 4AN,51.641494,-1.278181,450046,193879
S18 8XD,53.30294,-1.502087,433279,378559
M22 4RG,53.399889,-2.252312,383321,389259
SG14 1HH,51.794484,-0.080125,532498,212391
CT9 4JJ,51.36915,1.389919,636050,168798
PO30 5GR,50.695618,-1.319651,448149,88662
BA13 3HD,51.259537,-2.184245,387240,151169
FY1 4DY,53.813153,-3.039624,331645,435708
YO43 4HE,53.831051,-0.802899,478885,437863
CT20 2PH,51.083793,1.157248,621223,136350
PO19 6YS,50.851116,-0.771393,486584,106452
ST17 9RF,52.790914,-2.124876,391676,321490
CA1 9GB,54.887948,-2.906672,341937,555176
SO52 9DR,50.982285,-1.445632,439012,120466
LS11 6TT,53.781367,-1.547207,429934,431766
SO51 8ZB,50.993659,-1.501125,435108,121703
SR7 8NS,54.835867,-1.353566,441619,549196
AB23 8AW,57.19233,-2.096068,394293,811285
EX16 6AX,50.909593,-3.484509,295726,113285
SN15 2BB,51.458761,-2.118349,391874,173316
SW15 4ED,51.452158,-0.248854,521775,174029
BH17 8UB,50.745885,-1.955868,403210,94032
SS0 0QL,51.555771,0.691761,586701,187532
G42 7AP,55.839944,-4.257277,258745,663051
PO6 2PL,50.843277,-1.062458,466106,105280
NR2 4SF,52.629803,1.297886,623282,308667
TQ7 1RP,50.28423,-3.773521,273744,44200
SO40 3LZ,50.930266,-1.504094,434947,114652
TW14 8QB,51.456471,-0.417349,510057,174242
BS8 1NU,51.458581,-2.608351,357830,173465
B9 4HN,52.475978,-1.875549,408550,286457
B24 8EJ,52.510669,-1.837834,411103,290321
CB24 9WZ,52.251938,0.106438,543888,263619
LN2 1PU,53.23337,-0.537202,497736,371702
NR1 3QU,52.623357,1.289686,622760,307925
LN5 9HL,53.112225,-0.646736,490680,358082
SO52 9DR,50.982285,-1.445632,439012,120466
BH12 2AU,50.729404,-1.926399,405291,92201
E17 4PY,51.590725,-0.020486,537225,189842
DA14 5BU,51.419478,0.119372,547464,171071
NR26 8JP,52.944592,1.212267,615925,343408
LE1 5PZ,52.634105,-1.137915,458441,304388
NR18 9BP,52.563194,1.098669,610122,300662
PH2 0NX,56.395414,-3.443825,310973,723507
